               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.042034,            0.051961,           0.0068235,             0.75224,             0.54814,             0.62165,             0.38531,            0.041362,             0.04347,           0.0073409,            0.003268,            0.003268,            0.003268
                  70,            0.041912,            0.051746,           0.0068336,             0.75121,             0.54731,             0.62058,             0.38562,            0.041357,            0.043479,           0.0073466,            0.003169,            0.003169,            0.003169
                  71,            0.041898,            0.051614,           0.0068296,             0.75286,              0.5466,              0.6206,             0.38578,            0.041357,            0.043492,           0.0073544,             0.00307,             0.00307,             0.00307
                  72,            0.041946,            0.052156,           0.0067027,             0.75136,             0.54924,             0.62173,              0.3857,            0.041355,            0.043504,           0.0073613,            0.002971,            0.002971,            0.002971
                  73,            0.041852,            0.052144,           0.0065933,             0.75104,             0.54952,             0.62169,             0.38586,            0.041352,            0.043513,            0.007364,            0.002872,            0.002872,            0.002872
                  74,            0.041686,            0.051936,           0.0067255,             0.75256,             0.54994,             0.62195,             0.38593,             0.04135,            0.043519,           0.0073693,            0.002773,            0.002773,            0.002773
                  75,            0.041406,            0.051767,           0.0064687,             0.75105,             0.55043,             0.62199,             0.38588,             0.04135,            0.043528,           0.0073753,            0.002674,            0.002674,            0.002674
                  76,            0.041521,            0.052076,           0.0064692,             0.74904,             0.55097,              0.6221,             0.38565,            0.041346,            0.043537,           0.0073802,            0.002575,            0.002575,            0.002575
                  77,            0.041563,            0.052259,           0.0064206,             0.75234,             0.54843,             0.62171,             0.38557,            0.041346,             0.04355,           0.0073849,            0.002476,            0.002476,            0.002476
                  78,            0.041175,            0.051496,           0.0063666,             0.74763,             0.55139,             0.62155,             0.38546,            0.041345,            0.043554,           0.0073882,            0.002377,            0.002377,            0.002377
